content,score,at,content_sentiment,content_sentiment_num,content_sentiment_confidence
fun game vro,5,2025-06-01 05:13:16,positive,2,0.9633037447929382
Please developer just let's skip the story because it's the most annoying thing in this game,4,2025-06-01 04:53:11,negative,0,0.9941001534461975
Idk if it's a me problem but I haven't logged in for a bit I did my account and password and my account restarted(?) I tried resetting it and stuff but it keeps creating a new account idk if it's because I press x on the region part or not but it's pmo,1,2025-06-01 04:32:02,negative,0,0.9434183239936829
es increíble,5,2025-06-01 04:23:39,negative,0,0.6093374490737915
"I took a break of barely a week，and when I came back to genshin it kept crashing within 5 minutes of playing. I even put down my graphics and yet I still kept crashing for no reason. Before I took my small break genshin worked perfectly fine, it's only now that it keeps crashing.",1,2025-06-01 04:14:55,negative,0,0.9081739783287048
el juego no me deja entrar,5,2025-06-01 03:51:45,neutral,1,0.7156240344047546
"the game designs are over sexualised, mainly Escoffier which is disappointing because she's a Fontaine character and the characters there were perfectly made, while some of the designs are racist to the culture and skin tone. As for the wishing system it's absolute pay2win right now, the story itself is getting boring because now it's not even focused on finding our sibling, it's getting so dragged that it's annoying and boring. The game could've been better but still not the worst",3,2025-06-01 03:14:57,negative,0,0.9950356483459473
beautiful ❤️,5,2025-06-01 02:49:39,positive,2,0.9609781503677368
اعجبني,5,2025-06-01 02:19:35,neutral,1,0.3864840567111969
Overall the game is the best of I ever played dues it's role-playing with a superb story based and the mobs and the battle of all characters it's beautiful. Only negative is that there is not mount feature you should add a taming character so we can tame a monster and ride it or make him battle . Best game ever it's just walking and sprinting gets me bored so pls add a mount system or atleast a horse to ride after its a fantasy so it's should have atleast horse to make it living world of KNIGHTS,3,2025-06-01 02:14:56,positive,2,0.9930495023727417
loving every second of it ...,5,2025-06-01 02:13:57,positive,2,0.9919791221618652
Best game ever ❤❤❤,5,2025-06-01 02:13:25,positive,2,0.915415346622467
love this game it helped me through difficult times,5,2025-06-01 02:09:14,positive,2,0.9712120294570923
nice,5,2025-06-01 01:47:31,positive,2,0.7540208101272583
best games,5,2025-06-01 01:42:27,positive,2,0.8975242376327515
I loved it but I hate it too,1,2025-06-01 01:30:37,negative,0,0.5486542582511902
"Your game is suck, the download is often and so long and so little primogems giving and hard to get characters even is already guaranteed still lose and is make not sense at all. fix it please, thank you. 🥰❤️",1,2025-06-01 01:19:17,negative,0,0.9946792125701904
am sad it takes so long to get in pls genshin impact if you see my massage pls I want to play faster pls genshin impact,5,2025-06-01 00:47:17,positive,2,0.6951481103897095
I like this game,5,2025-06-01 00:40:21,positive,2,0.9825726747512817
it's an emotion,5,2025-06-01 00:31:46,positive,2,0.5184962153434753
"This game is really fun, with all the characters and the plot of the story, and all the cut scenes. The only thing is the time it takes to download the game. Took me like 30 minutes,",4,2025-06-01 00:18:11,positive,2,0.9796604514122009
best game ever made,5,2025-06-01 00:10:46,positive,2,0.9245964288711548
"good game, don't use any gachas tho just be a free to play it's worth it trust",4,2025-06-01 00:05:39,positive,2,0.9663879871368408
awesome!!,5,2025-06-01 00:00:58,positive,2,0.8924897313117981
I just love it good animation 😍,5,2025-05-31 23:52:45,positive,2,0.9880943894386292
trash game,1,2025-05-31 23:32:22,negative,0,0.9936515092849731
such a good game so intresting and fun,5,2025-05-31 23:23:20,positive,2,0.9924345016479492
very good tu my travel,5,2025-05-31 23:06:16,positive,2,0.9938847422599792
woy mana anime nya,1,2025-05-31 23:02:55,positive,2,0.9388027191162109
"I love genshin impact, but with the natlan update and the lack of representation of culture from where the nation is inspired from makes my skin crawl. natlan itself is beautiful and I love exploring it but the problem mostly lies in the characters. Mauvika is...not great, her only redeeming quality is that she's meta, her design, character and the fact that she's a biker feels so...not right. and she's based off of a real life goddess! Mahuika, who is māori. i could go on for hours.",2,2025-05-31 22:45:20,positive,2,0.6448952555656433
nice game,5,2025-05-31 22:25:45,positive,2,0.870432436466217
bestt game in the whole world like i played in in my other phone but it was lagging but now i got another phone but android but i put it high graphics and it worked i love the gameee soo much if i could i would give it a 1000 starss keep it up hoyoverse 😃👍👍,5,2025-05-31 22:12:31,positive,2,0.9863077998161316
good working smooth on redmi 13 😄,5,2025-05-31 21:33:24,positive,2,0.9485255479812622
"This game is very good but please provide a skip conversation feature so players can quickly complete the quest. Also the event now is getting harder. And please fix your very unstable server, it's so uncomfortable if playing then lagging, restart the stage again, so frustrating. EDIT: Also endgame features like SA and IG is super-super hard, it's impossible to done 100% without having many very good characters.",1,2025-05-31 21:32:51,negative,0,0.8667485117912292
the game is so cool and i like it but one small mistake is download pack is 32 gb this is one mistake but i like it,4,2025-05-31 21:30:50,positive,2,0.985522985458374
"I've played since launch. don't play this game. it's money grab, you'll feel behind because of whales, and the story is so boring",1,2025-05-31 21:07:12,negative,0,0.9942926168441772
great,5,2025-05-31 20:25:42,positive,2,0.8082208037376404
Just fire all EN va's all together to solve your problems.,1,2025-05-31 20:08:18,positive,2,0.6194623708724976
Replacing Paimon's EN VA was the best QoL improvement the game has given to players in 5 years. 5/5,5,2025-05-31 19:50:25,positive,2,0.8140090107917786
"Yeah hey, Am here to review the game again. first of all its great and an amazing game, I WOULD rate it higher but, the storage this game eats just freaks me out and reinstalling it just makes it feel like am feeding it alot more, secondly the play style is nice, makes me feel like am driving.. alot?? into it, and the wishing mechanic is really nice, overall it's fine, very overrated but I see the potential. I'd like to pray that this game doesn't go through its downfall because of the fandom.",3,2025-05-31 19:17:03,negative,0,0.7393297553062439
It's terrible what they doing to theirnvoice actor,1,2025-05-31 18:48:57,negative,0,0.9929221868515015
"For 5 years, greedy and untalented developers from small mihoyo company have not added support a game controller to the Android version.",1,2025-05-31 17:33:44,negative,0,0.8871968984603882
w game,5,2025-05-31 17:27:13,negative,0,0.778118908405304
very very great gaming experience,5,2025-05-31 17:12:24,positive,2,0.98896324634552
you gave me a 3 star bow and i wanted kazuha,1,2025-05-31 16:59:26,positive,2,0.6024807095527649
it's okay,5,2025-05-31 16:53:35,neutral,1,0.7831838130950928
I love the graphics and storyline,5,2025-05-31 16:15:14,positive,2,0.9880750775337219
The Graphics are Pretty good and my phone is some how giving me the best fps after the updates,5,2025-05-31 16:09:28,positive,2,0.9580788612365723
W game,5,2025-05-31 16:05:37,negative,0,0.778118908405304
the best app ever. the stories are good. i could tell how much effort they put to make those stories. the quality is good also. this game is just that good.,5,2025-05-31 15:20:03,positive,2,0.9291158318519592
loading is slowly,5,2025-05-31 15:15:29,neutral,1,0.432320773601532
best game ever,5,2025-05-31 15:13:15,positive,2,0.915415346622467
"This game is to good , I love this graphic,",5,2025-05-31 14:47:16,positive,2,0.9837859272956848
ADD A SKIP BUTTON ON THE QUEST HOLY I SO TIRED GETTING LOADING AND HAVE TO RESTART A 1 HOUR DIALOG WITH THE TEXT HAVING TO WAIT AND CANT BE CLICK AND SKIP,1,2025-05-31 14:39:46,negative,0,0.9649855494499207
I just waste my time,1,2025-05-31 14:13:04,negative,0,0.9891660809516907
its very good l like story so much it's fun play I love it,5,2025-05-31 14:11:53,positive,2,0.9946879148483276
wonderful,5,2025-05-31 14:10:39,positive,2,0.9457035660743713
"This game is very good.I really love the characters,story lines but the problem for me is not enough storage",4,2025-05-31 13:53:06,positive,2,0.9803716540336609
"I really enjoy playing Genshin Impact with my friends—the graphics are beautiful and exploring the world is a lot of fun! However, I want to share my experience with the wish (gacha) system. My friend got a 5-star character on a 50/50 chance, but even after 90 spins, I didn’t get a 5-star on my account. I know the system is based on luck and pity, but sometimes it feels unfair when others get lucky much faster. I hope the developers can make the wish system feel more balanced for everyone.",4,2025-05-31 13:46:57,positive,2,0.9628004431724548
my stress reliever,5,2025-05-31 13:17:24,neutral,1,0.6572185754776001
"kikir impact, tiap patch reward ga konsisten dapet 57 pull doang wadehel, pity character b5 pun ga dapet😭🥀",1,2025-05-31 13:14:15,neutral,1,0.8804618120193481
well game,5,2025-05-31 12:49:48,positive,2,0.7476820349693298
good game lots of fun playing and was free to play all I had to do was download the game,5,2025-05-31 12:28:48,positive,2,0.992062509059906
"The game itself is great, very fun to play and easy to understand. The story is somewhat compelling. But the reward system is absolutely garbage, the amount of time you out into it doesn't match what you actually get. And they treat their voice actors terrible.",1,2025-05-31 12:16:55,positive,2,0.672724187374115
this most realistic game ever and biggest,5,2025-05-31 12:13:12,positive,2,0.9586023092269897
Nice 👍🏻,5,2025-05-31 12:10:41,positive,2,0.7540208101272583
give a skip button to skin conversations and cut scenes coz they are too boring,4,2025-05-31 12:05:27,negative,0,0.9955470561981201
best adventure game 👍🏻👍🏻👍🏻,5,2025-05-31 11:49:35,positive,2,0.9753243923187256
Later expansions are not that great and the game itself became a bit of a mess storywise and in terms of world building. But there probably will never be a game with the quality of smooth gameplay GI offers.,5,2025-05-31 11:35:31,negative,0,0.9765402674674988
very good 👍 game it's characters are like anime all the anime and rpg games lover should try it once you will love 💕 it,5,2025-05-31 11:29:26,positive,2,0.9967302083969116
elemental reactions are pretty fun mechanic,5,2025-05-31 11:07:55,positive,2,0.9825504422187805
"it loads too long,so annoying",1,2025-05-31 10:46:37,negative,0,0.9947099685668945
bast game,5,2025-05-31 10:17:17,positive,2,0.9569646120071411
The game is super amaizing!!!,5,2025-05-31 09:49:49,positive,2,0.9772582650184631
"Its a good game but i hate it because of the devs are stingy to give resources, other than that its a good game",3,2025-05-31 09:31:38,neutral,1,0.782403290271759
"Used to be the best gacha on the market. Now it's probably among the worst, if not the worst of all. Literally am embarrassed to even admit I ever played this, or that I was once part of its cringy community. Gloried crypto mining app. Beware.",1,2025-05-31 09:27:50,negative,0,0.8309544920921326
I wish we have more characters that is a female and it's outfit is blue because it is my favorite color pls,5,2025-05-31 08:40:54,positive,2,0.9445849657058716
"I’ve been playing Genshin Impact for a while now. It’s a chill way to escape reality and get lost in a beautiful open world""",5,2025-05-31 08:38:29,positive,2,0.8990353941917419
"The stars I gave bcs how much I hate Realm of Tempered Valor, Natlan and lack of male 5*",1,2025-05-31 08:13:51,neutral,1,0.5191961526870728
"keeps crashing, even after reinstalling it",1,2025-05-31 08:13:22,negative,0,0.9815106987953186
it is boring game😣😣,1,2025-05-31 06:59:10,negative,0,0.995521068572998
I love this game because of the physics but please add offline mode and more optimization to prevent lag and fix bugs.,5,2025-05-31 06:39:33,positive,2,0.5158349871635437
"Stop putting fan service characters back. Bring the game back as it was, exciting, awesome, rare, and powerful events to arouse curiosity, not disgust! Also, what do you mean the daily reward is only 60 premium? It should be at least 80 or 100! Stop being the ones dragging the game down.",1,2025-05-31 06:19:48,negative,0,0.9179359078407288
"i miss this game and enjoy it very much so but one problem, my game just freeze and got muted while attacking creatures... pls fix it tq...",3,2025-05-31 06:00:11,neutral,1,0.5211606621742249
very bad support team totally terrible,1,2025-05-31 05:51:23,negative,0,0.9931474328041077
"if you want to play a better game with almost no power creep and a less predatory (but still inately predatory) system, try Wuthering Waves",1,2025-05-31 05:43:14,neutral,1,0.8031643033027649
it wont load the game bruh,1,2025-05-31 05:40:42,neutral,1,0.3958930969238281
Great no words to describe it,5,2025-05-31 05:24:58,positive,2,0.6486601233482361
quit right after natlan release and gooner game,1,2025-05-31 05:15:01,negative,0,0.9382681250572205
best game so far,5,2025-05-31 05:00:40,positive,2,0.9510622620582581
"10 words, ""Me Like Game Very Much, Thank You For Creating It""",5,2025-05-31 04:32:35,positive,2,0.9768350124359131
"love it, but it's like a toxic relationship",1,2025-05-31 04:16:39,neutral,1,0.8980776071548462
"good game but money sucker. waste your money or play 24/7 to farm primogems. it's like hell job for f2p and old player cause they have already expolred almost whole map. also not even many permanent event like spiral abyss, imaginarium theater.",1,2025-05-31 04:00:49,negative,0,0.790071427822113
"I have wanted to play genshin for last 3 years but I didn't have the good device to support it. I finally downloaded it and it was worth every year waiting for it. It's the best ever game. The characters, the storyline and the quests are fabulous. Most of the multiplayer games are boring when you play them alone but genshin isn't. Alone or with friends it's intresting in every way!!!",5,2025-05-31 03:22:12,positive,2,0.9931487441062927
"Resin, which replenishes over time, is required to enter certain activities like Domains and world bosses. The system has been criticized for its slow regeneration rate and low cap, leading to players feeling restricted in their ability to progress and farm materials.",3,2025-05-31 03:15:21,neutral,1,0.6825368404388428
"beautiful artwork, and wonderful worldbuilding. this game allows you to enter a fantasy realm like I've never seen before. easy play style but loads to offer",5,2025-05-31 01:52:02,positive,2,0.9039857387542725
the game is pretty good and realistic but there's one thing that is a bit good I mean when I strike the tall grass and fall through on the ground that is a bit fair would you make it a bit better not to go through the ground,5,2025-05-31 01:51:11,positive,2,0.6941744685173035
"I loved the game especially regions like Monstad, Liyue, Inazuma, Fontane - the design was gorgeous, story felt mysterious and interesting. The music was superb I still listen to Sumeru ost especially ""Forest of Jnana and Vidya"". Sure there was no skip button, farming was tedious and feedback has been given yet not listened to. Arlechino was the last character I got. Then Natlan teaser came out and that was my breaking point a complete 180 - Mickey mouse club house themed dinosaur adventure.",3,2025-05-31 01:49:08,positive,2,0.9388716816902161
trash,1,2025-05-31 01:36:45,negative,0,0.9788740277290344
im getting tired from it.,1,2025-05-31 01:30:44,negative,0,0.9835505485534668
"I love this game,but whenever there's an update it take a long time to download, the same when you first download the game too, i had to wait hours for it to finish,during the process of downloading i actually cried and almost choked myself because of how long the downloading were.",3,2025-05-31 00:33:34,positive,2,0.8636969327926636
i really like this game it's so cozy and the places are so preety ...there are few issues like weekly boss and some other but overall good game and fun to play,5,2025-05-31 00:19:42,positive,2,0.9881919026374817
"This game is being compared to wuwa being not so beautiful, but hear me out, the most beautiful thing about this game is not the mechanics, nor any combat style, but the journey through this game, all the friends you can meet, nice people, and it's not just about the value of the characters and stuff, this game is beautiful by finding what your heart desires, on the story. May the travelers find what their heart desires and may lead them to a good path. God Bless y'all!!!",5,2025-05-31 00:16:54,positive,2,0.991058886051178
"Its a great game which I have been playing for years. Unfortunately can't finish the Anchor quest in Nathan ""Go Further in"" because off elemental sigh of Iktomisaurus don't do anything. And finishing this quest is mandatory to continue with other anchor quests. So that is the end for me.",1,2025-05-30 23:51:59,positive,2,0.6993808150291443
2025 game still relies on ping when switching character,1,2025-05-30 23:38:55,positive,2,0.5085707902908325
I like this game 😄😃,5,2025-05-30 23:15:58,positive,2,0.9825726747512817
"In my opinion genshin is such a fun game if youre phone have so much space you can probably have su much fun but if you dont have a too much storage dont risk to download it! It acrually take 33.69Gb, but in other ways is so much fun to play!",1,2025-05-30 22:28:27,positive,2,0.9016925692558289
"Tried so hard to get my most wanted character but end up losing to 50/50, wasted my efforts, also hard pity but turns out it wasn't what I expected",1,2025-05-30 22:23:50,negative,0,0.9587007164955139
"The game is amazing, the things I just hate are the energy system (prevents me from grinding), the gacha chance is so low that you need to pull 50-100 just to get the character you want, and the streamers and whales that make unimaginable damage numbers to show the free players the difference of a paid accounts to free accounts.",1,2025-05-30 22:14:42,neutral,1,0.4517040550708771
"I really like the game, characters, lore and everything, but the people are the problem, they always sexualize characters especially the dendro archon nahida, ik hoyo cant do anything abt it but i think they should improve the rewards, add a skip button, buff some characters and giving better artifacts.",4,2025-05-30 22:04:52,positive,2,0.5535102486610413
wla lang ganda kasi ng laro,5,2025-05-30 21:58:19,positive,2,0.8001855611801147
the first time I started playing I immediately fell in love with it and knew that it will be the best game I've ever played before every thing is just perfect and definitely hard worked on the graphics are AMAZING so are the characters and their quests and the main quests are just PERFECTION!!!! the gameplay style is my fav cause I was shocked that a game like this is also OPEN WORLD!!! the more longer u play the more stuff u can discover and if u don't have it UR MISSING OUT A LOT!!!!!!!!,5,2025-05-30 21:38:34,positive,2,0.9942898750305176
love this game but I wish it would improve the way of story telling like there are so many ways the character experession could be improved in between dialogues like how wuwa does which makes the scene even more impactful,3,2025-05-30 21:33:51,positive,2,0.9775640368461609
nice,5,2025-05-30 21:27:14,positive,2,0.7540208101272583
"This is a awesome game,you should try it,while I'm a both PC and phone genshin player I can tell it is online and you can play with friends and meet new ones,the quests are fun and the events are also fun and I really love the graphics and experience of the game,the soundtrack is very original and has very beautiful characters,especially the Natlan ones,they give a unique summer vibe and I absolutely love it",5,2025-05-30 21:18:22,positive,2,0.9969724416732788
love the game since release. been f2p and have a couple of great characters. the story and universe is fantastic however certain dialogues in secondary quest can get a bit boring at times. glad to finally be able to use controller here too. would be great if it could automatically switch when connected and not have to do it manually each time but other than that all great.,5,2025-05-30 21:07:43,positive,2,0.9885099530220032
"excellent game :D i spend so much time playing this game !! i started when this game came out and until now i'm still playing it overall : great game , money isn't necessarily needed to get good characters too edit 2 : miss the game, its been really long since ive logged in and all im seeing is oversexualised female characters lol... hoyoverse, an advice, but if u wanna earn more money make it appealing for both genders... lol",3,2025-05-30 20:52:26,positive,2,0.9770440459251404
❤,5,2025-05-30 20:37:07,neutral,1,0.3864840567111969
add sand physics for mobile pls,5,2025-05-30 20:28:43,neutral,1,0.9316251277923584
best game ever free primos,5,2025-05-30 20:08:10,positive,2,0.9724417328834534
love it🙌❤,5,2025-05-30 20:02:21,positive,2,0.9876393675804138
"The gacha system is dog water. I think I will finally be released from this hell of a free to play game. Fast forward, 4000 hours into this game, and there is still no SKIP button. No one wants to sit through all this pointless overly long dialogue about nothing. Go play Wuthering Waves instead. You'll thank me.",1,2025-05-30 19:39:01,negative,0,0.6066213250160217
l love playing this game. It feels like my dream has come true,5,2025-05-30 19:24:40,positive,2,0.9924242496490479
not optimal but it has a Character named after my love so 5 stars.,5,2025-05-30 18:46:15,negative,0,0.536481499671936
best role playing game,5,2025-05-30 18:43:06,positive,2,0.9341495633125305
takes a bit of space but worth it for sure,5,2025-05-30 18:11:33,positive,2,0.8125791549682617
just a bad game overall,1,2025-05-30 17:40:58,negative,0,0.9604548811912537
best game ever ongong,5,2025-05-30 17:37:56,positive,2,0.9028301239013672
it's been a hard day but this game help me move on,5,2025-05-30 16:20:35,positive,2,0.9662442803382874
افضل لعبة,5,2025-05-30 16:08:36,neutral,1,0.3864840567111969
"I absolutely LOVE this game so far. The storyline, the characters, everything! But I wanted to know, does this game have any LGBTQ+ references or implications? I remember a friend telling me a part was heavily implied, but I've yet to see it. Is it in a later part of the game? I'm assuming so because I lowkey downloaded this last week.😛",5,2025-05-30 15:50:19,positive,2,0.9846451878547668
nice game and best graphics is in my life,5,2025-05-30 15:38:37,positive,2,0.9886110424995422
best one,5,2025-05-30 15:17:10,positive,2,0.8845599889755249
One think to say .. Do they even care about player feedback ? do they read any player needs...,1,2025-05-30 15:00:41,negative,0,0.8445908427238464
"One of the best game I've ever played so far, in my life 💛✨ The music, the gameplay, the story, the diverse and intersting content—everything is just top notch!!",5,2025-05-30 14:24:11,positive,2,0.9932816028594971
Chronical banner is so scam!!!,1,2025-05-30 14:12:02,negative,0,0.9961452484130859
"genshin is a open world rpg and is fun to play just don't be addicted on gacha, and please genshin give male characters!!!",4,2025-05-30 14:08:01,positive,2,0.9417718052864075
"this game is good, but my problems stands with the lack of animations during dialogues, And i wished they added a skip button instead of wasting 2 hours of my life skipping dialogues, And also. one more issue, The storage. It took at least 99% of my storage, Genshin is a good game that i wouldn't reccomend.",2,2025-05-30 14:03:47,positive,2,0.5952870845794678
this game work smoothly in my REDMI 13c 5g device,5,2025-05-30 13:58:46,positive,2,0.7523961663246155
"Mana skip button,trash game,fix your server lol mumy ping always 600,not newbie friendly, controller not detected,stupid event",1,2025-05-30 13:43:26,negative,0,0.9971079230308533
very cool and nice game,5,2025-05-30 13:36:59,positive,2,0.9832520484924316
very engaging and so much fun so far,5,2025-05-30 11:54:41,positive,2,0.9912142157554626
LOVE THIS GAME SOOO MUCHJJJ,5,2025-05-30 11:51:12,positive,2,0.9928123354911804
nice stroy,5,2025-05-30 11:44:57,positive,2,0.8578266501426697
no sirve,1,2025-05-30 11:09:59,neutral,1,0.5124825835227966
its not fun to play anymore. it feels like devs are getting more greedy and sloppy at the same time....its sad,1,2025-05-30 11:08:43,negative,0,0.9830563068389893
please... give Kazuha a rerun in 6.0.. I just need him.. I don't think I will get him in this 5.6 banner..,5,2025-05-30 10:44:08,negative,0,0.5690785646438599
ok to be honest I've never played it before buy my brother has it and let's me play the game is awesome and perfect I love the design and so far I like the music,5,2025-05-30 09:59:44,positive,2,0.9883455038070679
i love this game so much,5,2025-05-30 09:03:35,positive,2,0.9841673970222473
"""The traveler is very weak in the story, and this is very frustrating.""",1,2025-05-30 09:03:05,negative,0,0.9925577640533447
game yang sangat bagus,5,2025-05-30 08:26:10,positive,2,0.7672473192214966
"Enjoy the game, just not on mobile.",4,2025-05-30 07:57:33,positive,2,0.9801887273788452
genshin semakin kesini semakin pelit trus jadi banyak fan servicenya. kayak honkai starrail dong,1,2025-05-30 07:36:17,neutral,1,0.8732684254646301
"Really like Citali,Hu Tao Furina but "" Paimon is always so loud and annoying compared to other characters voices "" always third wheeling in the conversation and We're always doing what she wants to do not what we like to do most of the time in story",2,2025-05-30 07:32:05,negative,0,0.9381904006004333
what's happening genshin?,5,2025-05-30 07:20:04,neutral,1,0.8240196108818054
"Amazing game, although im a starter! The graphics, characters.. and the nations! I love how they symbolize actual countries and their beliefs! So i rate this a 5! But i hope they make it offline.",5,2025-05-30 07:16:14,positive,2,0.9864835143089294
"the game doesnt work, i keeps kicking me out when compiling shaders in startup. im on samsung s24",1,2025-05-30 06:41:00,neutral,1,0.8866816759109497
"Rewards lately have been lacking, couldn't even give me a 5 star character even with welkin, and the events and their quests too are so boring and dry which is not so me because I used to like their quest event before :<<<",1,2025-05-30 05:45:24,negative,0,0.9817239046096802
I would rather play roblox,1,2025-05-30 04:53:39,positive,2,0.6210125684738159
Genshin impact is a decent game.The starting is a bit boring but the lore does get interesting...what I don't like is how much time one has to dedicate to finish the main quests and how hard it is to obtain characters and weapons.Even materials for ascension for weapons and characters are hard to come by.If you plan on playing the game...be ready to dedicate lots of time for it,1,2025-05-30 03:22:08,negative,0,0.758212685585022
if you don't keep on playing the game it will kick you out and make it to where you cannot sign back in,3,2025-05-30 02:33:12,negative,0,0.7047006487846375
really like the graphics and the large world,5,2025-05-30 01:56:42,positive,2,0.886787474155426
perfect game❤️❤️,5,2025-05-30 01:52:52,positive,2,0.911773681640625
Can never win the character you want,1,2025-05-30 01:52:15,negative,0,0.7407767176628113
good grafix and story,5,2025-05-30 01:25:49,positive,2,0.9831563830375671
good,3,2025-05-30 01:15:31,positive,2,0.8451585173606873
"old domains barely give anything to work with. you can farm for old artifact domains for weeks or months and still no proposer stats being dropped. fix this, new artifact domains don't have this problem at all",1,2025-05-30 01:12:27,negative,0,0.9896265268325806
this game is trash I'm going back to roblox,1,2025-05-30 00:53:05,negative,0,0.9666972160339355
"hey hoyoverse please send me an electric guitar with full gear, I'll learn the themes of genshin and I'll perform all of them and post on social media 😭🙏🏻",5,2025-05-30 00:45:43,neutral,1,0.9822711944580078
it's very good game it's so interesting. thank you for these game❤️,5,2025-05-30 00:42:57,positive,2,0.9942302703857422
"the abyss is meant for whales or meta enjoyers it is way too difficult,mind you I have tried my best and my team is also very good but it seems they always make the abyss harder and harder for some reason.",1,2025-05-30 00:41:21,neutral,1,0.8078242540359497
awsome game,5,2025-05-29 23:51:10,positive,2,0.7222955226898193
crashed and doesn't open qnd I have so much storage and still doesn't open :(,2,2025-05-29 23:47:30,negative,0,0.9941781759262085
im obsessed,5,2025-05-29 23:19:34,positive,2,0.7766846418380737
escoffier is so chopped why didnt yall make ifa a 5 star,1,2025-05-29 23:14:46,negative,0,0.8462966084480286
A 5-star game.,5,2025-05-29 22:56:12,neutral,1,0.8193771839141846
Played this game since 2021. The song are gladly good. Just don't listen to the comunity,5,2025-05-29 22:49:38,neutral,1,0.8922635912895203
عالی... می‌تونم بگم بهترین بازی‌ای که تا به حال انجام دادم! اولش بخاطر شخصیت هاش بازی رو دان کردم الان عاشقش شدم... معمولا اکثرِ بازی هایی که تو دسته رول پلی و اینها قرار میگیرن، حجمشون زیاده. اینم مثل اوناست فقط حجمش یکم خیلی بیشتره، که اونم انقدر خودش خوبه دیده نمیشه,5,2025-05-29 22:48:21,negative,0,0.7378852963447571
Not as great as it used to be.,2,2025-05-29 22:19:53,negative,0,0.8434972763061523
it takes to much time to log in,1,2025-05-29 22:06:14,neutral,1,0.5538516044616699
best game forever>>>>,5,2025-05-29 22:03:26,positive,2,0.9741978049278259
i love you ginshin impact,5,2025-05-29 21:51:31,positive,2,0.9923105239868164
nice game,5,2025-05-29 21:50:15,positive,2,0.870432436466217
I like this very much i play all time🤩,5,2025-05-29 21:40:56,positive,2,0.995263934135437
Hey hoyo may you fix your controller compatibility when I try to use my LT/RT button it's not like doing anything at all 😭 when I use my controller in a nother game itself is completely fine 😊 but not in your game I gesss,3,2025-05-29 21:23:54,negative,0,0.918389081954956
I'm amazed. I thought it's a normal mobile game but it's exactly like my PS5 games. Can we buy it for PS5?,5,2025-05-29 21:21:24,positive,2,0.9477328658103943
why is this app in #4 ? AAAAAA rated game for mobile♥️💕,5,2025-05-29 21:18:05,negative,0,0.9543551206588745
"I loathed this game for giving me a gambling addiction, but with the release of Natlan, I have finally been cured! So thanks for that",1,2025-05-29 21:10:04,positive,2,0.6030762791633606
good games...,5,2025-05-29 20:42:51,positive,2,0.9380052089691162
"was a good game, now abyss has became a full pay to clear stuff",1,2025-05-29 20:40:49,neutral,1,0.7333005666732788
Worst player support I've faced. Have waited over half a day for a ticket I posted.,1,2025-05-29 20:23:49,negative,0,0.9896042346954346
best game,5,2025-05-29 19:47:57,positive,2,0.9188457727432251
gooner game💔💔,1,2025-05-29 19:37:33,negative,0,0.6762153506278992
"loved this game, came back to it after a month or so and the game never opens......Why is the game crashing????",1,2025-05-29 19:17:50,neutral,1,0.7616792917251587
"I love genshin impact. The details, ease, storylines, quests and the characters and their abilities. Honestly enjoying playing this game on my phone, tablet and pc and find it brilliant that oi can use my Yae miko astute amusement controller to play as well",5,2025-05-29 18:52:36,positive,2,0.9918442368507385
"Genshin is good. The graphics are really good even on mobile. The story quests are okay but some of them get boring. The primogems are expensive and the 5 stars are hard to get. I wish there were more males in the game since hoyo mostly releases female chars. The things I have a problem with is that they release chars out of nowhere with no impact on the lore whatsoever, most people in the fandom are very hateful and not cool and the FANSERVICE is not okay. 7/10 decent.",3,2025-05-29 18:44:01,negative,0,0.9221845865249634
Im still standing since 2021!!,5,2025-05-29 18:27:23,neutral,1,0.5003800988197327
"I love it, and y'all will too l",5,2025-05-29 18:20:44,positive,2,0.981650173664093
this is very good,5,2025-05-29 18:06:53,positive,2,0.9854660034179688
masterpiece 🫶,5,2025-05-29 17:43:40,positive,2,0.9465301036834717
PMO,1,2025-05-29 17:36:09,neutral,1,0.6088805198669434
"Great game, but seriously, who thought overlapping quest spots was a smart idea? I finish Sumeru, and instead of the Fontaine Prologue triggering normally, I’m blocked by Epilogue/Natlan junk in the same spot. Ever heard of quest progression logic, HoYoverse? Maybe detect where the player is in the story before dumping everything in one place. This is just lazy design.",2,2025-05-29 17:33:47,negative,0,0.9394659399986267
"Best game just a bit laggy on mobile. Best to get genshin on pc, play station or xbox.",5,2025-05-29 17:29:31,neutral,1,0.47089630365371704
best story game I ever played,5,2025-05-29 17:21:45,positive,2,0.9698129892349243
great experience 😃,5,2025-05-29 16:47:07,positive,2,0.896213173866272
not so f2p friendly,3,2025-05-29 16:33:58,neutral,1,0.5602964758872986
this is a good game,5,2025-05-29 16:26:15,positive,2,0.9172030687332153
"gameplay, story and animation 🖤🗿",5,2025-05-29 16:14:49,positive,2,0.9437833428382874
"I love it, the details, story, and yelan armpit",5,2025-05-29 16:12:30,positive,2,0.9866499304771423
rigged capturing radiance I always lose my 50/50 now I didn't get Raiden thanks for c3 Jean that I don't even use anymore.,1,2025-05-29 15:49:17,negative,0,0.8807819485664368
"I love it! ( I have few ideas to put in the game, make some quests to collect wishes! and I'm sure it'll help players and make them feel at ease and I'm sure more people will play this game! )",5,2025-05-29 15:15:13,positive,2,0.9876905679702759
