Product_Category,Product_Name,Quantity,Payment_Method,Review_Rating,Review_Text,State
Home & Kitchen,Vacuum Cleaner,5,Cash on Delivery,1,Terrible experience,Goa
Clothing,T-Shirt,1,Debit Card,5,Loved it!,Uttarakhand
Clothing,Jacket,1,UPI,2,Not satisfied,Tamil Nadu
Home & Kitchen,Mixer Grinder,5,Debit Card,3,Okay product,Tripura
Books,Biography,2,UPI,2,Disappointed,Punjab
Clothing,Sneakers,2,Debit Card,4,Would buy again,Uttar Pradesh
Books,Comics,3,Cash on Delivery,3,Average,Goa
Electronics,Smartphone,5,UPI,1,Never buying again,Telangana
Clothing,Jeans,2,Credit Card,5,Loved it!,Manipur
Electronics,Tablet,3,Debit Card,1,Terrible experience,Arunachal Pradesh
Clothing,Sneakers,2,Cash on Delivery,2,Not satisfied,Maharashtra
Home & Kitchen,Mixer Grinder,2,UPI,5,Excellent product!,Kerala
Beauty,Face Cream,2,Debit Card,3,Fair deal,Sikkim
Electronics,Smartphone,1,Debit Card,2,Product not as expected,Telangana
Electronics,Smartphone,1,Cash on Delivery,2,Not satisfied,Haryana
Electronics,Laptop,2,UPI,2,Not satisfied,Manipur
Clothing,T-Shirt,3,Cash on Delivery,3,Could be better,Punjab
Clothing,Sneakers,3,Credit Card,1,Terrible experience,Jharkhand
Clothing,Sneakers,4,Debit Card,1,Very bad product,Tripura
Home & Kitchen,Air Fryer,2,Debit Card,3,Could be better,Telangana
Books,Children's Book,1,Credit Card,4,Good quality,Uttar Pradesh
Clothing,Jacket,2,Cash on Delivery,1,Terrible experience,Manipur
Home & Kitchen,Air Fryer,2,Cash on Delivery,3,Fair deal,Haryana
Books,Biography,5,UPI,4,Satisfied with the product,Nagaland
Home & Kitchen,Mixer Grinder,1,Cash on Delivery,1,Waste of money,Haryana
Clothing,Jeans,3,Debit Card,2,Product not as expected,Jharkhand
Beauty,Hair Dryer,2,Cash on Delivery,2,Poor packaging,Uttar Pradesh
Home & Kitchen,Cookware Set,3,Debit Card,2,Not satisfied,Uttar Pradesh
Electronics,Smartphone,5,Credit Card,2,Quality could improve,Meghalaya
Electronics,Smartwatch,2,Credit Card,3,Average,Uttarakhand
Books,Comics,3,Cash on Delivery,4,Value for money,Gujarat
Electronics,Headphones,1,Credit Card,1,Defective item,Kerala
Clothing,Sneakers,1,UPI,2,Product not as expected,Sikkim
Electronics,Headphones,5,Credit Card,5,Loved it!,Odisha
Electronics,Tablet,4,UPI,1,Waste of money,Manipur
Electronics,Tablet,4,UPI,5,Highly recommend!,Manipur
Electronics,Smartphone,2,UPI,4,Pretty decent,Tripura
Electronics,Tablet,4,UPI,5,Worth every rupee!,Jharkhand
Clothing,Sneakers,5,UPI,1,Defective item,Tripura
Beauty,Hair Dryer,3,UPI,1,Terrible experience,Madhya Pradesh
Home & Kitchen,Cookware Set,3,Credit Card,1,Never buying again,Mizoram
Beauty,Hair Dryer,1,Credit Card,4,Good quality,Mizoram
Beauty,Face Cream,4,Credit Card,5,Loved it!,Maharashtra
Books,Comics,4,Credit Card,4,Value for money,Goa
Clothing,T-Shirt,4,Credit Card,5,Fantastic quality!,Uttarakhand
Electronics,Tablet,3,UPI,4,Value for money,Gujarat
Home & Kitchen,Cookware Set,2,UPI,4,Would buy again,Uttar Pradesh
Electronics,Smartwatch,5,Cash on Delivery,4,Pretty decent,Punjab
Beauty,Face Cream,4,UPI,3,Not bad,Chhattisgarh
Home & Kitchen,Cookware Set,1,Credit Card,1,Very bad product,West Bengal
Electronics,Smartwatch,1,Debit Card,3,Could be better,Himachal Pradesh
Clothing,T-Shirt,5,Debit Card,2,Disappointed,Arunachal Pradesh
Books,Fiction Novel,2,UPI,3,Could be better,Rajasthan
Clothing,T-Shirt,2,Debit Card,1,Never buying again,Meghalaya
Beauty,Lipstick,4,Credit Card,2,Poor packaging,West Bengal
Electronics,Smartphone,1,Cash on Delivery,1,Waste of money,Kerala
Beauty,Hair Dryer,5,Credit Card,1,Defective item,Nagaland
Home & Kitchen,Mixer Grinder,2,Debit Card,1,Waste of money,Bihar
Clothing,Saree,3,Debit Card,4,Value for money,Tamil Nadu
Clothing,Jacket,1,Credit Card,5,Worth every rupee!,West Bengal
Electronics,Laptop,3,Cash on Delivery,4,Pretty decent,Mizoram
Clothing,T-Shirt,3,Credit Card,1,Never buying again,West Bengal
Beauty,Face Cream,3,Credit Card,3,Average,Bihar
Clothing,T-Shirt,4,Credit Card,2,Disappointed,Jharkhand
Electronics,Headphones,5,Cash on Delivery,4,Satisfied with the product,Assam
Books,Science Textbook,3,Cash on Delivery,4,Pretty decent,Tripura
Clothing,Saree,5,Cash on Delivery,1,Waste of money,Goa
Electronics,Smartwatch,4,Credit Card,2,Quality could improve,Himachal Pradesh
Books,Children's Book,4,Credit Card,2,Product not as expected,Manipur
Books,Children's Book,5,Cash on Delivery,1,Waste of money,Mizoram
Clothing,T-Shirt,3,Debit Card,2,Poor packaging,Chhattisgarh
Books,Science Textbook,4,Cash on Delivery,4,Value for money,Uttarakhand
Electronics,Headphones,2,UPI,3,Fair deal,Maharashtra
Books,Comics,4,Credit Card,3,Average,Assam
Books,Fiction Novel,2,Credit Card,5,Loved it!,Haryana
Beauty,Perfume,4,Credit Card,2,Quality could improve,Uttarakhand
Beauty,Face Cream,1,Cash on Delivery,4,Good quality,Manipur
Beauty,Face Cream,4,Debit Card,3,Could be better,Kerala
Home & Kitchen,Water Purifier,4,Credit Card,2,Product not as expected,Andhra Pradesh
Books,Fiction Novel,2,Credit Card,2,Product not as expected,Maharashtra
Books,Comics,1,Debit Card,3,Average,Arunachal Pradesh
Electronics,Smartwatch,5,UPI,1,Very bad product,Madhya Pradesh
Beauty,Perfume,4,UPI,1,Never buying again,Mizoram
Clothing,Jeans,2,Debit Card,4,Would buy again,Kerala
Clothing,T-Shirt,4,Credit Card,3,Average,Haryana
Books,Science Textbook,5,UPI,4,Value for money,Madhya Pradesh
Books,Comics,5,Credit Card,5,Loved it!,Assam
Beauty,Perfume,5,Cash on Delivery,2,Disappointed,Kerala
Electronics,Headphones,5,Cash on Delivery,1,Terrible experience,Haryana
Home & Kitchen,Cookware Set,4,Debit Card,5,Fantastic quality!,Andhra Pradesh
Beauty,Lipstick,5,Cash on Delivery,5,Excellent product!,Karnataka
Books,Comics,4,Debit Card,1,Very bad product,Bihar
Clothing,T-Shirt,5,UPI,1,Waste of money,Uttarakhand
Electronics,Headphones,3,Debit Card,2,Poor packaging,Tamil Nadu
Books,Fiction Novel,5,Credit Card,2,Quality could improve,Rajasthan
Electronics,Laptop,2,Debit Card,1,Very bad product,Karnataka
Electronics,Tablet,2,Credit Card,3,Not bad,Uttar Pradesh
Books,Comics,5,Credit Card,2,Quality could improve,Chhattisgarh
Home & Kitchen,Cookware Set,4,UPI,5,Excellent product!,Chhattisgarh
Home & Kitchen,Water Purifier,5,Debit Card,2,Not satisfied,Arunachal Pradesh
Clothing,Saree,1,Debit Card,3,Not bad,Jharkhand
Books,Science Textbook,1,Credit Card,2,Product not as expected,Uttarakhand
Beauty,Lipstick,5,Cash on Delivery,2,Poor packaging,Meghalaya
Home & Kitchen,Mixer Grinder,5,Credit Card,4,Pretty decent,Tamil Nadu
Beauty,Face Cream,2,Credit Card,3,Could be better,Uttarakhand
Beauty,Lipstick,2,Debit Card,5,Excellent product!,Chhattisgarh
Clothing,T-Shirt,5,UPI,4,Would buy again,Tripura
Clothing,Saree,3,Credit Card,2,Not satisfied,Tamil Nadu
Electronics,Headphones,2,UPI,3,Okay product,Meghalaya
Clothing,T-Shirt,5,Cash on Delivery,3,Not bad,Manipur
Beauty,Perfume,3,Credit Card,2,Not satisfied,Punjab
Books,Comics,2,UPI,3,Okay product,Andhra Pradesh
Electronics,Headphones,5,Cash on Delivery,1,Waste of money,Assam
Clothing,Jeans,2,UPI,5,Fantastic quality!,Andhra Pradesh
Electronics,Laptop,3,Cash on Delivery,5,Excellent product!,Himachal Pradesh
Books,Biography,5,Credit Card,3,Not bad,Gujarat
Clothing,Sneakers,4,Credit Card,4,Would buy again,Uttarakhand
Home & Kitchen,Air Fryer,4,Debit Card,5,Highly recommend!,Chhattisgarh
Home & Kitchen,Mixer Grinder,5,Credit Card,5,Excellent product!,Nagaland
Electronics,Tablet,2,Cash on Delivery,4,Would buy again,Telangana
Beauty,Perfume,5,UPI,2,Quality could improve,Punjab
Clothing,Sneakers,1,UPI,5,Worth every rupee!,Mizoram
Beauty,Perfume,4,Debit Card,4,Good quality,Maharashtra
Books,Biography,4,UPI,1,Waste of money,Bihar
Books,Fiction Novel,1,Credit Card,1,Waste of money,Tripura
Books,Comics,2,UPI,3,Okay product,Jharkhand
Beauty,Face Cream,1,Cash on Delivery,1,Very bad product,Haryana
Home & Kitchen,Air Fryer,3,Cash on Delivery,4,Pretty decent,Jharkhand
Home & Kitchen,Cookware Set,5,Debit Card,3,Fair deal,Bihar
Clothing,Jeans,3,Credit Card,4,Good quality,Arunachal Pradesh
Clothing,Jeans,4,UPI,5,Highly recommend!,Haryana
Clothing,Jeans,1,Credit Card,3,Okay product,Maharashtra
Beauty,Shampoo,4,Cash on Delivery,4,Satisfied with the product,Rajasthan
Home & Kitchen,Water Purifier,3,UPI,1,Defective item,Uttar Pradesh
Home & Kitchen,Mixer Grinder,5,Credit Card,1,Defective item,Punjab
Clothing,T-Shirt,2,Debit Card,2,Not satisfied,Manipur
Beauty,Perfume,2,Cash on Delivery,4,Value for money,Assam
Beauty,Hair Dryer,1,Credit Card,3,Okay product,Bihar
Beauty,Hair Dryer,5,Cash on Delivery,4,Value for money,Uttarakhand
Electronics,Smartphone,1,Debit Card,2,Disappointed,Meghalaya
Clothing,T-Shirt,4,UPI,2,Quality could improve,Punjab
Beauty,Hair Dryer,1,Cash on Delivery,4,Pretty decent,Nagaland
Electronics,Headphones,2,Credit Card,5,Excellent product!,Andhra Pradesh
Beauty,Shampoo,1,Cash on Delivery,4,Pretty decent,Rajasthan
Beauty,Perfume,4,Debit Card,4,Value for money,Mizoram
Electronics,Tablet,3,UPI,5,Worth every rupee!,Odisha
Beauty,Perfume,5,Debit Card,1,Terrible experience,Haryana
Books,Children's Book,1,Cash on Delivery,2,Disappointed,Tamil Nadu
Electronics,Laptop,2,Credit Card,4,Good quality,Chhattisgarh
Beauty,Shampoo,4,UPI,1,Waste of money,Jharkhand
Clothing,Jeans,4,UPI,4,Good quality,Maharashtra
Books,Children's Book,5,Debit Card,4,Would buy again,Andhra Pradesh
Electronics,Smartwatch,4,Debit Card,5,Loved it!,Punjab
Books,Comics,5,Debit Card,4,Value for money,Kerala
Books,Science Textbook,2,Cash on Delivery,4,Good quality,Haryana
Books,Children's Book,4,UPI,4,Pretty decent,Odisha
Clothing,Saree,1,UPI,5,Fantastic quality!,Maharashtra
Books,Science Textbook,4,Credit Card,2,Product not as expected,Goa
Electronics,Smartwatch,1,Credit Card,3,Not bad,Sikkim
Home & Kitchen,Cookware Set,1,UPI,5,Loved it!,Sikkim
Home & Kitchen,Vacuum Cleaner,5,Cash on Delivery,1,Very bad product,Assam
Beauty,Hair Dryer,2,Credit Card,3,Could be better,Mizoram
Home & Kitchen,Water Purifier,5,Debit Card,3,Okay product,Kerala
Electronics,Laptop,1,Cash on Delivery,5,Excellent product!,Assam
Beauty,Shampoo,3,UPI,1,Terrible experience,Mizoram
Home & Kitchen,Water Purifier,2,UPI,5,Worth every rupee!,Nagaland
Electronics,Smartphone,4,Debit Card,5,Worth every rupee!,Mizoram
Electronics,Laptop,1,UPI,5,Loved it!,Uttar Pradesh
Beauty,Perfume,5,Debit Card,4,Would buy again,Mizoram
Home & Kitchen,Mixer Grinder,1,Credit Card,5,Worth every rupee!,Nagaland
Home & Kitchen,Mixer Grinder,1,Cash on Delivery,1,Waste of money,Andhra Pradesh
Beauty,Shampoo,4,Credit Card,5,Loved it!,Madhya Pradesh
Books,Fiction Novel,4,Debit Card,2,Disappointed,West Bengal
Clothing,Sneakers,5,Debit Card,2,Product not as expected,Meghalaya
Electronics,Smartphone,2,Debit Card,3,Could be better,Arunachal Pradesh
Clothing,Jacket,5,Cash on Delivery,1,Waste of money,Rajasthan
Electronics,Laptop,5,UPI,5,Fantastic quality!,Madhya Pradesh
Beauty,Shampoo,1,Debit Card,3,Could be better,Kerala
Electronics,Headphones,3,UPI,4,Would buy again,Himachal Pradesh
Beauty,Lipstick,3,Credit Card,2,Disappointed,Telangana
Books,Children's Book,4,Cash on Delivery,3,Okay product,Andhra Pradesh
Clothing,Jeans,4,Cash on Delivery,4,Would buy again,Kerala
Electronics,Laptop,3,Credit Card,5,Excellent product!,Uttar Pradesh
Home & Kitchen,Cookware Set,5,Credit Card,2,Product not as expected,Assam
Beauty,Shampoo,1,Credit Card,5,Highly recommend!,Kerala
Beauty,Hair Dryer,5,Credit Card,5,Highly recommend!,Haryana
Books,Children's Book,4,Cash on Delivery,4,Satisfied with the product,Telangana
Home & Kitchen,Air Fryer,1,Credit Card,2,Poor packaging,Sikkim
Home & Kitchen,Water Purifier,2,Credit Card,2,Not satisfied,Rajasthan
Clothing,Jeans,4,Debit Card,1,Terrible experience,Bihar
Beauty,Perfume,5,UPI,1,Never buying again,Tripura
Electronics,Laptop,3,Debit Card,2,Poor packaging,Odisha
Beauty,Perfume,1,Cash on Delivery,5,Loved it!,Telangana
Clothing,Sneakers,1,Credit Card,2,Disappointed,Tripura
Clothing,T-Shirt,5,Debit Card,4,Would buy again,Karnataka
Beauty,Perfume,5,Cash on Delivery,5,Loved it!,Chhattisgarh
Electronics,Smartphone,4,Cash on Delivery,2,Product not as expected,Arunachal Pradesh
Beauty,Face Cream,5,Debit Card,3,Could be better,Kerala
Clothing,Sneakers,4,UPI,2,Quality could improve,Nagaland
Beauty,Hair Dryer,3,Cash on Delivery,1,Terrible experience,Karnataka
Clothing,Jeans,1,Cash on Delivery,3,Not bad,Uttarakhand
Clothing,T-Shirt,2,Credit Card,5,Worth every rupee!,Rajasthan
Clothing,Jeans,4,Debit Card,3,Fair deal,Goa
Home & Kitchen,Water Purifier,5,UPI,3,Not bad,Uttarakhand
Beauty,Perfume,2,Cash on Delivery,1,Very bad product,Tripura
Books,Fiction Novel,4,Cash on Delivery,5,Loved it!,Sikkim
Clothing,Saree,5,Credit Card,3,Average,Manipur
Books,Fiction Novel,5,Debit Card,5,Excellent product!,Tamil Nadu
Electronics,Headphones,4,Credit Card,5,Excellent product!,Meghalaya
Beauty,Face Cream,4,UPI,1,Waste of money,Rajasthan
Electronics,Headphones,3,UPI,1,Never buying again,Goa
Books,Science Textbook,2,Cash on Delivery,5,Loved it!,Uttar Pradesh
Electronics,Laptop,5,Debit Card,5,Excellent product!,Chhattisgarh
Beauty,Hair Dryer,5,Debit Card,4,Pretty decent,Assam
Home & Kitchen,Air Fryer,5,Cash on Delivery,2,Quality could improve,Tamil Nadu
Electronics,Laptop,5,UPI,3,Fair deal,Tripura
Electronics,Tablet,5,UPI,1,Very bad product,Manipur
Books,Comics,1,UPI,3,Okay product,Arunachal Pradesh
Beauty,Shampoo,1,UPI,5,Loved it!,Jharkhand
Beauty,Perfume,2,UPI,1,Terrible experience,Gujarat
Clothing,Jeans,1,Cash on Delivery,5,Highly recommend!,Arunachal Pradesh
Home & Kitchen,Vacuum Cleaner,3,Credit Card,1,Terrible experience,Uttar Pradesh
Electronics,Headphones,4,Credit Card,5,Highly recommend!,Gujarat
Beauty,Shampoo,4,Credit Card,2,Poor packaging,Arunachal Pradesh
Beauty,Face Cream,3,UPI,1,Never buying again,Karnataka
Home & Kitchen,Mixer Grinder,2,Credit Card,5,Fantastic quality!,Jharkhand
Beauty,Face Cream,3,UPI,1,Terrible experience,Mizoram
Clothing,Jacket,1,Cash on Delivery,2,Not satisfied,Madhya Pradesh
Books,Comics,5,UPI,2,Not satisfied,Uttarakhand
Clothing,T-Shirt,2,Debit Card,1,Waste of money,Nagaland
Beauty,Lipstick,5,UPI,5,Loved it!,Meghalaya
Beauty,Face Cream,1,Credit Card,5,Highly recommend!,Himachal Pradesh
Beauty,Lipstick,3,UPI,3,Could be better,Arunachal Pradesh
Books,Comics,3,UPI,3,Not bad,Tripura
Electronics,Tablet,1,Debit Card,5,Loved it!,Rajasthan
Home & Kitchen,Vacuum Cleaner,3,Debit Card,4,Good quality,Gujarat
Beauty,Hair Dryer,4,Credit Card,4,Good quality,Jharkhand
Beauty,Perfume,3,Debit Card,1,Waste of money,Kerala
Beauty,Shampoo,1,Debit Card,3,Average,West Bengal
Home & Kitchen,Cookware Set,1,Cash on Delivery,2,Not satisfied,Tripura
Home & Kitchen,Air Fryer,1,Debit Card,4,Satisfied with the product,Arunachal Pradesh
Home & Kitchen,Vacuum Cleaner,1,Cash on Delivery,5,Highly recommend!,West Bengal
Electronics,Smartwatch,3,Debit Card,3,Fair deal,Rajasthan
Books,Fiction Novel,3,Cash on Delivery,1,Defective item,Karnataka
Beauty,Hair Dryer,2,Credit Card,4,Would buy again,Himachal Pradesh
Beauty,Lipstick,5,Cash on Delivery,5,Loved it!,Bihar
Clothing,Jacket,4,Credit Card,1,Very bad product,Uttar Pradesh
Books,Science Textbook,2,Credit Card,3,Okay product,Kerala
Clothing,Saree,4,Debit Card,2,Not satisfied,Maharashtra
Clothing,Saree,2,Cash on Delivery,2,Poor packaging,Madhya Pradesh
Clothing,Sneakers,2,Credit Card,2,Poor packaging,Telangana
Home & Kitchen,Cookware Set,1,Debit Card,2,Not satisfied,Manipur
Electronics,Smartwatch,5,Debit Card,2,Quality could improve,Madhya Pradesh
Home & Kitchen,Air Fryer,1,Cash on Delivery,5,Highly recommend!,Karnataka
Electronics,Headphones,3,Cash on Delivery,2,Product not as expected,Goa
Books,Comics,5,UPI,5,Worth every rupee!,Meghalaya
Home & Kitchen,Cookware Set,2,Credit Card,2,Product not as expected,Tamil Nadu
Beauty,Shampoo,2,UPI,1,Terrible experience,Meghalaya
Home & Kitchen,Air Fryer,1,Debit Card,4,Satisfied with the product,Kerala
Beauty,Face Cream,3,Debit Card,2,Disappointed,Uttar Pradesh
Electronics,Smartphone,4,Cash on Delivery,3,Average,Mizoram
Beauty,Shampoo,3,Credit Card,4,Would buy again,Himachal Pradesh
Electronics,Smartwatch,2,Credit Card,1,Defective item,Uttar Pradesh
Beauty,Lipstick,4,Debit Card,3,Not bad,Assam
Beauty,Hair Dryer,2,Debit Card,2,Not satisfied,Telangana
Home & Kitchen,Water Purifier,5,Debit Card,5,Highly recommend!,Maharashtra
Books,Science Textbook,2,Credit Card,4,Satisfied with the product,Assam
Books,Biography,4,UPI,1,Very bad product,Maharashtra
Home & Kitchen,Water Purifier,3,UPI,3,Average,Punjab
Clothing,Jacket,4,Debit Card,2,Disappointed,Uttarakhand
Clothing,Jeans,3,UPI,4,Would buy again,Goa
Books,Science Textbook,2,Cash on Delivery,5,Highly recommend!,Nagaland
Books,Biography,1,Credit Card,1,Defective item,Jharkhand
Books,Biography,4,Debit Card,5,Excellent product!,Karnataka
Home & Kitchen,Water Purifier,4,Credit Card,5,Fantastic quality!,Bihar
Clothing,T-Shirt,5,Cash on Delivery,4,Good quality,Assam
Books,Fiction Novel,5,Cash on Delivery,4,Good quality,Karnataka
Electronics,Smartwatch,3,Cash on Delivery,3,Could be better,Sikkim
Beauty,Hair Dryer,4,UPI,3,Could be better,Jharkhand
Beauty,Shampoo,3,Cash on Delivery,1,Never buying again,Jharkhand
Beauty,Hair Dryer,2,Cash on Delivery,1,Defective item,Manipur
Home & Kitchen,Vacuum Cleaner,1,UPI,3,Not bad,Punjab
Books,Children's Book,3,Cash on Delivery,2,Product not as expected,Tamil Nadu
Electronics,Tablet,2,Cash on Delivery,4,Satisfied with the product,Maharashtra
Beauty,Perfume,1,Credit Card,3,Fair deal,Goa
Electronics,Laptop,1,Credit Card,3,Not bad,Tamil Nadu
Home & Kitchen,Mixer Grinder,2,UPI,5,Worth every rupee!,Manipur
Books,Children's Book,5,Credit Card,2,Disappointed,Kerala
Electronics,Laptop,3,Debit Card,3,Average,Manipur
Beauty,Perfume,3,Debit Card,4,Good quality,Arunachal Pradesh
Books,Biography,4,UPI,2,Poor packaging,Telangana
Books,Fiction Novel,2,Debit Card,4,Satisfied with the product,West Bengal
Electronics,Laptop,1,Debit Card,5,Highly recommend!,Kerala
Books,Fiction Novel,4,Credit Card,3,Not bad,Punjab
Beauty,Shampoo,4,Debit Card,4,Value for money,Maharashtra
Electronics,Tablet,4,UPI,5,Fantastic quality!,Himachal Pradesh
Clothing,Saree,3,Debit Card,5,Fantastic quality!,Rajasthan
Beauty,Perfume,2,UPI,2,Disappointed,Uttar Pradesh
Books,Children's Book,5,Cash on Delivery,2,Poor packaging,Arunachal Pradesh
Clothing,T-Shirt,4,Credit Card,1,Waste of money,Assam
Electronics,Headphones,1,Credit Card,5,Loved it!,Sikkim
Beauty,Lipstick,3,UPI,4,Satisfied with the product,Rajasthan
Clothing,Jeans,4,UPI,2,Poor packaging,Madhya Pradesh
Books,Comics,1,UPI,2,Product not as expected,Kerala
Home & Kitchen,Vacuum Cleaner,5,Cash on Delivery,4,Would buy again,Mizoram
Home & Kitchen,Vacuum Cleaner,1,Debit Card,4,Satisfied with the product,Uttar Pradesh
Books,Comics,1,Cash on Delivery,5,Loved it!,Telangana
Beauty,Hair Dryer,1,UPI,1,Never buying again,Sikkim
Home & Kitchen,Vacuum Cleaner,5,Credit Card,4,Value for money,Goa
Books,Comics,4,UPI,5,Worth every rupee!,Andhra Pradesh
Beauty,Face Cream,2,Credit Card,4,Would buy again,Chhattisgarh
Electronics,Headphones,1,Cash on Delivery,5,Excellent product!,West Bengal
Books,Science Textbook,1,Cash on Delivery,4,Would buy again,Punjab
Electronics,Smartphone,1,Credit Card,2,Poor packaging,Sikkim
Clothing,Jacket,5,Cash on Delivery,2,Disappointed,Uttar Pradesh
Books,Children's Book,1,Cash on Delivery,3,Fair deal,Manipur
Books,Comics,4,Debit Card,2,Product not as expected,Arunachal Pradesh
Electronics,Smartwatch,4,UPI,1,Defective item,Chhattisgarh
Home & Kitchen,Mixer Grinder,3,UPI,1,Terrible experience,Assam
Books,Comics,2,Debit Card,3,Not bad,Haryana
Books,Science Textbook,1,Cash on Delivery,3,Average,Tripura
Clothing,Jeans,3,Cash on Delivery,2,Disappointed,Rajasthan
Beauty,Hair Dryer,5,Cash on Delivery,1,Terrible experience,Kerala
Books,Fiction Novel,2,Debit Card,3,Not bad,Kerala
Home & Kitchen,Vacuum Cleaner,4,Credit Card,5,Worth every rupee!,Madhya Pradesh
Home & Kitchen,Mixer Grinder,1,Cash on Delivery,2,Product not as expected,Odisha
Books,Science Textbook,1,Credit Card,4,Satisfied with the product,Arunachal Pradesh
Beauty,Perfume,1,Credit Card,5,Excellent product!,Punjab
Home & Kitchen,Water Purifier,3,Credit Card,3,Okay product,Chhattisgarh
Home & Kitchen,Mixer Grinder,4,Debit Card,3,Okay product,Sikkim
Books,Children's Book,4,Debit Card,4,Pretty decent,Manipur
Home & Kitchen,Air Fryer,2,Debit Card,3,Average,Kerala
Beauty,Lipstick,5,Debit Card,1,Waste of money,Kerala
Clothing,T-Shirt,5,Debit Card,4,Satisfied with the product,Manipur
Home & Kitchen,Vacuum Cleaner,4,Credit Card,1,Terrible experience,Tripura
Beauty,Lipstick,1,Cash on Delivery,2,Quality could improve,Assam
Clothing,T-Shirt,2,Credit Card,3,Not bad,Odisha
Clothing,Jacket,4,Cash on Delivery,1,Terrible experience,Chhattisgarh
Electronics,Smartphone,2,Credit Card,4,Satisfied with the product,Mizoram
Clothing,Jeans,2,UPI,5,Worth every rupee!,Kerala
Beauty,Hair Dryer,2,UPI,4,Pretty decent,Madhya Pradesh
Books,Fiction Novel,3,UPI,3,Could be better,Karnataka
Electronics,Tablet,2,Debit Card,3,Could be better,Rajasthan
Beauty,Lipstick,2,Cash on Delivery,4,Pretty decent,Himachal Pradesh
Clothing,Jacket,2,Debit Card,5,Fantastic quality!,Haryana
Clothing,Jeans,4,Debit Card,4,Good quality,Bihar
Electronics,Laptop,5,UPI,2,Quality could improve,Andhra Pradesh
Home & Kitchen,Vacuum Cleaner,3,Credit Card,4,Would buy again,Telangana
Clothing,Saree,1,Debit Card,2,Disappointed,Goa
Beauty,Face Cream,3,Credit Card,3,Average,Meghalaya
Electronics,Headphones,5,Credit Card,5,Loved it!,Mizoram
Electronics,Headphones,1,Cash on Delivery,3,Fair deal,Madhya Pradesh
Beauty,Face Cream,5,UPI,5,Excellent product!,Nagaland
Books,Children's Book,2,Debit Card,2,Not satisfied,Bihar
Home & Kitchen,Cookware Set,4,UPI,4,Would buy again,Himachal Pradesh
Electronics,Tablet,4,Debit Card,5,Highly recommend!,Tripura
Clothing,Sneakers,4,UPI,4,Pretty decent,Himachal Pradesh
Books,Science Textbook,2,Credit Card,1,Waste of money,Tamil Nadu
Electronics,Smartwatch,1,Cash on Delivery,2,Disappointed,Manipur
Electronics,Headphones,2,Credit Card,1,Terrible experience,Gujarat
Beauty,Shampoo,1,Credit Card,1,Very bad product,Punjab
Beauty,Shampoo,2,Credit Card,5,Highly recommend!,Jharkhand
Electronics,Smartphone,3,Credit Card,5,Highly recommend!,Tamil Nadu
Beauty,Perfume,1,UPI,5,Highly recommend!,Meghalaya
Books,Biography,2,Credit Card,1,Waste of money,Gujarat
Books,Children's Book,1,Debit Card,2,Disappointed,Bihar
Home & Kitchen,Cookware Set,2,Debit Card,5,Worth every rupee!,Chhattisgarh
Beauty,Face Cream,2,Credit Card,5,Loved it!,West Bengal
Electronics,Tablet,3,Credit Card,4,Would buy again,Assam
Books,Biography,2,UPI,2,Quality could improve,Manipur
Beauty,Shampoo,3,Cash on Delivery,5,Loved it!,Goa
Home & Kitchen,Cookware Set,5,UPI,4,Pretty decent,Tamil Nadu
Home & Kitchen,Cookware Set,2,Credit Card,5,Worth every rupee!,Manipur
Home & Kitchen,Air Fryer,4,Cash on Delivery,2,Poor packaging,Assam
Books,Biography,2,Cash on Delivery,2,Quality could improve,Uttar Pradesh
Home & Kitchen,Mixer Grinder,3,Cash on Delivery,2,Poor packaging,Sikkim
Clothing,Sneakers,3,Debit Card,3,Fair deal,West Bengal
Clothing,Saree,1,Credit Card,1,Never buying again,Karnataka
Beauty,Hair Dryer,2,Cash on Delivery,5,Highly recommend!,Sikkim
Clothing,Saree,1,Cash on Delivery,5,Excellent product!,Kerala
Clothing,T-Shirt,4,UPI,4,Satisfied with the product,Tamil Nadu
Electronics,Smartphone,3,Credit Card,4,Value for money,Assam
Books,Science Textbook,1,Credit Card,1,Defective item,Nagaland
Beauty,Shampoo,2,Cash on Delivery,3,Could be better,Nagaland
Home & Kitchen,Air Fryer,2,Cash on Delivery,2,Poor packaging,Jharkhand
Books,Biography,1,UPI,5,Excellent product!,Jharkhand
Clothing,Jacket,4,Cash on Delivery,5,Excellent product!,West Bengal
Beauty,Hair Dryer,2,UPI,2,Product not as expected,Goa
Electronics,Laptop,3,Cash on Delivery,5,Loved it!,Tamil Nadu
Books,Comics,3,Credit Card,1,Defective item,Tamil Nadu
Home & Kitchen,Cookware Set,4,Debit Card,4,Good quality,Tamil Nadu
Home & Kitchen,Mixer Grinder,5,UPI,3,Fair deal,Rajasthan
Books,Science Textbook,1,UPI,3,Average,Goa
Home & Kitchen,Water Purifier,5,Debit Card,1,Waste of money,Uttar Pradesh
Electronics,Laptop,5,Cash on Delivery,4,Good quality,Kerala
Electronics,Tablet,5,Credit Card,3,Not bad,Mizoram
Home & Kitchen,Vacuum Cleaner,5,Debit Card,2,Not satisfied,Haryana
Beauty,Face Cream,4,Credit Card,1,Terrible experience,Bihar
Electronics,Smartphone,3,Cash on Delivery,1,Waste of money,Gujarat
Clothing,T-Shirt,5,Cash on Delivery,1,Very bad product,Uttar Pradesh
